image_index,label,mineral,format,file_size,mode,image_width,image_height,brightness,contrast,aspect_ratio
54,1,Silver,JPEG,23248.0,RGB,252.0,455.0,0.1253820160542849,0.2332823818000003,0.5538461538461539
55,1,Silver,JPEG,16476.0,RGB,319.0,445.0,0.0881657747104336,0.2226116001754189,0.7168539325842697
56,1,Silver,JPEG,18588.0,RGB,323.0,445.0,0.1256511949755029,0.2356571974507656,0.7258426966292135
57,1,Silver,JPEG,21177.0,RGB,379.0,381.0,0.1154354037267924,0.2169520296620118,0.994750656167979
58,1,Silver,JPEG,45968.0,RGB,396.0,365.0,0.2369843207796471,0.2477163393359109,1.084931506849315
59,1,Silver,JPEG,47240.0,RGB,442.0,325.0,0.1837444769763108,0.2466544759283772,1.36
60,1,Silver,JPEG,45736.0,RGB,640.0,480.0,0.3890909032883987,0.2241059884115,1.3333333333333333
61,1,Silver,JPEG,46705.0,RGB,403.0,360.0,0.2029748293031025,0.2820922582858238,1.1194444444444445
62,1,Silver,JPEG,36262.0,RGB,396.0,362.0,0.1683125535497976,0.2524452421726116,1.0939226519337018
63,1,Silver,JPEG,36906.0,RGB,393.0,365.0,0.1724974592297792,0.2620243161548668,1.0767123287671232
64,1,Silver,JPEG,32539.0,RGB,369.0,390.0,0.1392270223355828,0.255784119319531,0.946153846153846
65,1,Silver,JPEG,31187.0,RGB,413.0,348.0,0.1407850067749679,0.2466017301149925,1.1867816091954022
66,1,Pyrargyrite,JPEG,58666.0,RGB,355.0,407.0,0.2000992843412065,0.1869420828349567,0.8722358722358723
67,1,Silver,JPEG,30410.0,RGB,348.0,413.0,0.1412668671598777,0.2360995334913324,0.8426150121065376
68,1,Pyrargyrite,JPEG,36810.0,RGB,417.0,346.0,0.3885835500249918,0.2573676484371346,1.2052023121387283
69,1,Silver,JPEG,26555.0,RGB,420.0,335.0,0.1960454589796117,0.2978835065481201,1.2537313432835822
70,1,Silver,JPEG,53869.0,RGB,435.0,329.0,0.2242138743489569,0.2356517620396332,1.3221884498480243
71,1,Silver,JPEG,35070.0,RGB,337.0,429.0,0.1553066820303685,0.2298706991314608,0.7855477855477856
72,1,Silver,JPEG,33887.0,RGB,288.0,501.0,0.1427913508494992,0.2391440384447787,0.5748502994011976
73,1,Silver,JPEG,56922.0,RGB,397.0,361.0,0.2844631132384852,0.2564067920181305,1.0997229916897506
74,1,Silver,JPEG,26424.0,RGB,374.0,272.0,0.3517908193475565,0.3098286804695688,1.375
75,1,Silver,JPEG,71978.0,RGB,350.0,295.0,0.4144575796420263,0.2237814122651357,1.1864406779661016
76,1,Proustite,JPEG,18854.0,RGB,350.0,248.0,0.3018178368121442,0.2395613455376211,1.4112903225806452
77,1,Proustite,JPEG,40613.0,RGB,463.0,379.0,0.3490101546183305,0.2317241437641133,1.2216358839050132
78,1,Silver,JPEG,23376.0,RGB,303.0,350.0,0.494933836240767,0.293221183081982,0.8657142857142858
79,1,Silver,JPEG,45443.0,RGB,350.0,328.0,0.5651104734576758,0.2962424792909753,1.0670731707317074
80,1,Silver,JPEG,32082.0,RGB,350.0,228.0,0.7100080102216325,0.317450011311928,1.5350877192982455
81,1,Silver,JPEG,50051.0,RGB,350.0,265.0,0.4705461656360657,0.1866365373456892,1.320754716981132
82,1,Proustite,JPEG,16091.0,RGB,272.0,350.0,0.283743079584775,0.1894874585454992,0.7771428571428571
83,1,Silver,JPEG,22447.0,RGB,315.0,350.0,0.5375882975412387,0.2271657582375595,0.9
84,1,Silver,JPEG,23489.0,RGB,330.0,350.0,0.4042087768440709,0.2643287534051383,0.9428571428571428
85,1,Silver,JPEG,12510.0,RGB,350.0,251.0,0.2895817960650395,0.2629853756597236,1.3944223107569722
86,1,Pyrargyrite,JPEG,16059.0,RGB,350.0,305.0,0.2745216329154613,0.2590536825309408,1.147540983606557
87,1,Pyrargyrite,JPEG,11525.0,RGB,350.0,319.0,0.166002300606763,0.2291044671556899,1.09717868338558
88,1,Silver,JPEG,34631.0,RGB,387.0,372.0,0.8421593143383884,0.2054258570387254,1.0403225806451613
89,1,Silver,JPEG,48899.0,RGB,373.0,384.0,0.2711623484290946,0.3231682222201675,0.9713541666666666
90,1,Silver,JPEG,52595.0,RGB,366.0,393.0,0.3045548791409944,0.2851014423182383,0.931297709923664
91,1,Silver,JPEG,42145.0,RGB,449.0,320.0,0.2081469987772392,0.2558169190829836,1.403125
92,1,Silver,JPEG,10665.0,RGB,264.0,350.0,0.2147672099142687,0.2260733578423711,0.7542857142857143
93,1,Pyrargyrite,JPEG,19778.0,RGB,340.0,350.0,0.3224413247652001,0.254064264228468,0.9714285714285714
94,1,Silver,JPEG,22006.0,RGB,342.0,410.0,0.0788550764764613,0.2294205601498228,0.8341463414634146
97,1,Silver,JPEG,34620.0,RGB,462.0,312.0,0.2893634687752335,0.3347997308042532,1.4807692307692308
98,1,Silver,JPEG,54394.0,RGB,409.0,358.0,0.3017419165286691,0.2546528407691236,1.1424581005586592
99,1,Pyrargyrite,JPEG,44733.0,RGB,476.0,332.0,0.3812906346096199,0.2839785530265798,1.4337349397590362
100,1,Silver,JPEG,39609.0,RGB,489.0,350.0,0.2663672847462093,0.3107859074629079,1.3971428571428572
101,1,Acanthite,JPEG,19608.0,RGB,360.0,397.0,0.4247085164880394,0.2817763746872726,0.906801007556675
102,1,Silver,JPEG,89350.0,RGB,640.0,480.0,0.5230059104370915,0.2252882422737837,1.3333333333333333
103,1,Polybasite,JPEG,41620.0,RGB,640.0,480.0,0.5307006229575163,0.2258860641415579,1.3333333333333333
104,1,Polybasite,JPEG,66522.0,RGB,640.0,480.0,0.5066525862949346,0.265782206651486,1.3333333333333333
105,1,Silver,JPEG,18078.0,RGB,552.0,449.0,0.6054843702433687,0.2589384643972713,1.2293986636971046
106,1,Silver,JPEG,29558.0,RGB,218.0,400.0,0.5766687803561793,0.2740157164883087,0.545
107,1,Pyrargyrite,JPEG,36686.0,RGB,400.0,329.0,0.3879859347994516,0.2097686792733218,1.21580547112462
108,1,Silver,JPEG,59072.0,RGB,324.0,352.0,0.4261753908914857,0.346271427489934,0.9204545454545454
109,1,Silver,JPEG,17487.0,RGB,563.0,447.0,0.5016938830956147,0.2407142680813629,1.2595078299776286
110,1,Silver,JPEG,53266.0,RGB,600.0,450.0,0.5294717066085691,0.1759126122567229,1.3333333333333333
111,1,Chlorargyrite,JPEG,72392.0,RGB,600.0,452.0,0.4624903406790445,0.2061093809376308,1.327433628318584
112,1,Chlorargyrite,JPEG,51623.0,RGB,399.0,365.0,0.2074886921843959,0.2393002215997293,1.093150684931507
113,1,Silver,JPEG,12889.0,RGB,350.0,261.0,0.1842040846990137,0.1814256076983248,1.3409961685823757
115,1,Chlorargyrite,JPEG,78060.0,RGB,600.0,450.0,0.2905762381989832,0.1799949095580697,1.3333333333333333
117,1,Freibergite,JPEG,51847.0,RGB,315.0,461.0,0.2598987977934003,0.2959246595692743,0.6832971800433839
118,1,Silver,JPEG,51935.0,RGB,421.0,336.0,0.2972878422944791,0.26568205794999,1.2529761904761905
119,1,Silver,JPEG,245703.0,RGB,700.0,525.0,0.4615514579164998,0.2246315203138712,1.3333333333333333
120,1,Silver,JPEG,16050.0,RGB,350.0,260.0,0.2059352725705666,0.2100620785770518,1.3461538461538465
121,1,Silver,JPEG,15605.0,RGB,350.0,288.0,0.3050049797696856,0.2566097024575011,1.2152777777777777
122,1,Chlorargyrite,JPEG,9900.0,RGB,350.0,242.0,0.1988506146260156,0.1981547941135237,1.4462809917355373
123,1,Chlorargyrite,JPEG,14972.0,RGB,350.0,260.0,0.2751318681318681,0.2947130244076847,1.3461538461538465
124,1,Silver,JPEG,40560.0,RGB,444.0,338.0,0.2124609468500871,0.2499449400265366,1.3136094674556211
128,1,Proustite,JPEG,62923.0,RGB,960.0,640.0,0.2888636450674019,0.2469335567350543,1.5
129,1,Silver,JPEG,31769.0,RGB,640.0,480.0,0.4386325444240195,0.2069716701196631,1.3333333333333333
130,1,Proustite,JPEG,76797.0,RGB,960.0,640.0,0.2739301853553922,0.188065609316818,1.5
131,1,Silver,JPEG,13944.0,RGB,400.0,300.0,0.2129730718954248,0.2060410849233458,1.3333333333333333
132,1,Silver,JPEG,22109.0,RGB,368.0,415.0,0.3916399100237265,0.1448598815268429,0.8867469879518072
133,1,Proustite,JPEG,126802.0,RGB,603.0,459.0,0.4964285893924513,0.3150011081816327,1.3137254901960784
134,1,Proustite,JPEG,47067.0,RGB,500.0,375.0,0.2162391843137255,0.2286603640898258,1.3333333333333333
135,1,Chlorargyrite,JPEG,47394.0,RGB,600.0,450.0,0.5694589397240377,0.1786679105594349,1.3333333333333333
136,1,Silver,JPEG,77092.0,RGB,640.0,480.0,0.4138350566789215,0.2007964259210145,1.3333333333333333
137,1,Proustite,JPEG,66381.0,RGB,960.0,640.0,0.2818071257148694,0.1820821172906042,1.5
138,1,Proustite,JPEG,76664.0,RGB,960.0,640.0,0.4370723294526142,0.1916151165564179,1.5
139,1,Proustite,JPEG,56014.0,RGB,960.0,640.0,0.3162122076695263,0.2311043874831618,1.5
140,1,Stephanite,JPEG,44714.0,RGB,457.0,424.0,0.4061742524514863,0.2450989524440385,1.0778301886792452
141,1,Polybasite,JPEG,86149.0,RGB,534.0,468.0,0.4032957326469112,0.2731326000334542,1.141025641025641
142,1,Polybasite,JPEG,130390.0,RGB,639.0,518.0,0.4002613218023325,0.2753272273385225,1.2335907335907337
143,1,Stephanite,JPEG,92449.0,RGB,597.0,505.0,0.4406319177587282,0.2525533995356906,1.182178217821782
144,1,Proustite,JPEG,63130.0,RGB,960.0,640.0,0.320612042994281,0.2002845357373188,1.5
145,1,Silver,JPEG,16456.0,RGB,640.0,480.0,0.5880572789011438,0.2603803817457181,1.3333333333333333
146,1,Silver,JPEG,30995.0,RGB,359.0,547.0,0.1221384114644569,0.2536651861138013,0.6563071297989032
147,1,Chlorargyrite,JPEG,278050.0,RGB,640.0,480.0,0.4653537581699347,0.1651271204189824,1.3333333333333333
149,1,Silver,JPEG,56897.0,RGB,530.0,400.0,0.5134822604513505,0.2479978644545237,1.325
150,1,Acanthite,JPEG,19494.0,RGB,640.0,480.0,0.1668927440767973,0.246899519741411,1.3333333333333333
151,1,Silver,JPEG,50944.0,RGB,500.0,404.0,0.3556034556396816,0.2265481321788083,1.2376237623762376
152,1,Silver,JPEG,32283.0,RGB,500.0,414.0,0.3830299138012694,0.2088548003257176,1.207729468599034
153,1,Silver,JPEG,28144.0,RGB,500.0,377.0,0.4258595100639725,0.2466948141029322,1.326259946949602
154,1,Freibergite,JPEG,316409.0,RGB,900.0,675.0,0.4714964383119501,0.2569818603291474,1.3333333333333333
155,1,Pyrargyrite,JPEG,89956.0,RGB,960.0,640.0,0.2565482345281862,0.2089926551727655,1.5
156,1,Stephanite,JPEG,61148.0,RGB,641.0,481.0,0.5528024745791102,0.1759770203963684,1.3326403326403329
157,1,Silver,JPEG,47856.0,RGB,481.0,600.0,0.5530938947997771,0.1679873116294752,0.8016666666666666
158,1,Silver,JPEG,56276.0,RGB,550.0,565.0,0.3366672787216254,0.1594240928423263,0.9734513274336284
159,1,Stephanite,JPEG,55630.0,RGB,576.0,558.0,0.4120170636454501,0.2518849280458132,1.032258064516129
160,1,Silver,JPEG,71843.0,RGB,850.0,476.0,0.3399430761924147,0.2691984060681032,1.7857142857142858
161,1,Silver,JPEG,37536.0,RGB,510.0,466.0,0.4782362511612404,0.1515105040503108,1.094420600858369
162,1,Silver,JPEG,39874.0,RGB,471.0,567.0,0.2982843715452682,0.2147534559418803,0.8306878306878307
163,1,Silver,JPEG,47597.0,RGB,600.0,546.0,0.7373575737987504,0.2453217906059905,1.098901098901099
164,1,Silver,JPEG,48170.0,RGB,700.0,651.0,0.4624458557616595,0.1651536931584764,1.075268817204301
165,1,Silver,JPEG,35373.0,RGB,333.0,400.0,0.5786282753341577,0.2446697033706823,0.8325
166,1,Silver,JPEG,7258.0,RGB,140.0,150.0,0.1710263305322129,0.25121498711324,0.9333333333333332
167,1,Silver,JPEG,37705.0,RGB,325.0,400.0,0.5304681146304675,0.2254644725909318,0.8125
168,1,Silver,JPEG,55486.0,RGB,550.0,436.0,0.285572028978397,0.3521412591215918,1.261467889908257
169,1,Silver,JPEG,33444.0,RGB,700.0,292.0,0.2561638271747054,0.2383878490132103,2.3972602739726026
170,1,Proustite,JPEG,21340.0,RGB,640.0,480.0,0.4823736979166666,0.2615467830826572,1.3333333333333333
171,1,Silver,JPEG,111773.0,RGB,667.0,578.0,0.4032969369172527,0.2672658829593689,1.1539792387543253
173,1,Silver,JPEG,128169.0,RGB,568.0,620.0,0.4175029398401795,0.2822130635511063,0.9161290322580644
174,1,Silver,JPEG,107733.0,RGB,719.0,588.0,0.3063410436033476,0.2667744931021525,1.2227891156462585
175,1,Silver,JPEG,83783.0,RGB,482.0,665.0,0.3008813711114496,0.2446280438466687,0.724812030075188
176,1,Silver,JPEG,114284.0,RGB,450.0,396.0,0.6138483087960211,0.2754498836478688,1.1363636363636365
177,1,Pyrargyrite,JPEG,41932.0,RGB,400.0,376.0,0.5590080308719232,0.3366377090357578,1.0638297872340423
178,1,Silver,JPEG,76949.0,RGB,463.0,600.0,0.3773002300992391,0.3218545254096295,0.7716666666666666
179,1,Pyrargyrite,JPEG,26463.0,RGB,255.0,441.0,0.5870072647795503,0.2984429326563019,0.5782312925170068
180,1,Silver,JPEG,86265.0,RGB,700.0,542.0,0.1728158805957808,0.2461343863574804,1.2915129151291511
181,1,Silver,JPEG,400510.0,RGB,700.0,525.0,0.4147797465652927,0.262017987288909,1.3333333333333333
182,1,Silver,JPEG,84238.0,RGB,221.0,500.0,0.5503588324017389,0.3483284365150688,0.442
183,1,Pyrargyrite,JPEG,56674.0,RGB,483.0,466.0,0.5622685050881706,0.2732760836677371,1.036480686695279
184,1,Silver,JPEG,60170.0,RGB,411.0,599.0,0.4924002513930194,0.2985284972644835,0.6861435726210351
185,1,Acanthite,JPEG,25866.0,RGB,300.0,392.0,0.4076376884086968,0.2531542449205842,0.7653061224489796
186,1,Silver,JPEG,7828.0,RGB,162.0,375.0,0.765284015169854,0.2184564145970544,0.432
187,1,Silver,JPEG,75532.0,RGB,742.0,558.0,0.4752520525353578,0.146881650377024,1.3297491039426523
188,1,Silver,JPEG,146474.0,RGB,819.0,614.0,0.4355511541179294,0.1942955868882286,1.3338762214983713
189,1,Silver,JPEG,78471.0,RGB,609.0,707.0,0.596578806781618,0.2054488187500861,0.8613861386138614
190,1,Silver,JPEG,57791.0,RGB,563.0,750.0,0.7032822948954597,0.2685287753537411,0.7506666666666667
191,1,Silver,JPEG,23319.0,RGB,374.0,400.0,0.5431543462304708,0.198304894984595,0.935
192,1,Silver,JPEG,62024.0,RGB,562.0,700.0,0.4952522005243379,0.2087779559850231,0.8028571428571428
193,1,Silver,JPEG,117588.0,RGB,465.0,500.0,0.7745658697027199,0.2894298985760854,0.93
194,1,Silver,JPEG,7945.0,RGB,324.0,432.0,0.074492348951469,0.1465472565076195,0.75
195,1,Silver,JPEG,52302.0,RGB,440.0,600.0,0.2485836749851455,0.1382372721027195,0.7333333333333333
196,1,Silver,JPEG,63645.0,RGB,551.0,701.0,0.6937081195957052,0.2403460878815801,0.7860199714693296
197,1,Pyrargyrite,JPEG,22550.0,RGB,400.0,323.0,0.506026588963759,0.2992390567845217,1.238390092879257
198,1,Silver,JPEG,40583.0,RGB,450.0,338.0,0.4131266581583324,0.2843073233347564,1.331360946745562
199,1,Silver,JPEG,26043.0,RGB,350.0,263.0,0.3405829312713678,0.3263289201851821,1.3307984790874523
200,1,Silver,JPEG,25615.0,RGB,284.0,440.0,0.3461581431548291,0.3275974021988339,0.6454545454545455
201,1,Pearceite,JPEG,68341.0,RGB,517.0,600.0,0.4528532509070681,0.3350939328170833,0.8616666666666667
202,1,Silver,JPEG,124225.0,RGB,465.0,543.0,0.7631922822001135,0.2417879196551646,0.856353591160221
203,1,Pyrargyrite,JPEG,16430.0,RGB,400.0,300.0,0.7325917647058822,0.3128949277303972,1.3333333333333333
204,1,Proustite,JPEG,70671.0,RGB,830.0,619.0,0.3357390638292026,0.1905381332549137,1.340872374798061
205,1,Proustite,JPEG,30422.0,RGB,450.0,369.0,0.3491790212019767,0.2660048212857436,1.2195121951219512
206,1,Proustite,JPEG,184784.0,RGB,503.0,363.0,0.4683064149538034,0.2578478421516629,1.3856749311294765
207,1,Proustite,JPEG,53245.0,RGB,469.0,377.0,0.5076092466362213,0.2395513649605785,1.2440318302387268
208,1,Acanthite,JPEG,70821.0,RGB,369.0,600.0,0.4690155870839754,0.3104666446248509,0.615
209,1,Proustite,JPEG,200342.0,RGB,491.0,500.0,0.4309269278383451,0.1612228182622166,0.982
210,1,Silver,JPEG,77042.0,RGB,700.0,656.0,0.1262964661474346,0.2334175933078158,1.0670731707317074
211,1,Acanthite,JPEG,68929.0,RGB,600.0,558.0,0.504429849837187,0.2679427108251528,1.075268817204301
212,1,Silver,JPEG,61605.0,RGB,369.0,600.0,0.5702869086207203,0.2933449522374766,0.615
213,1,Silver,JPEG,37944.0,RGB,350.0,288.0,0.25080115935263,0.2907114020092078,1.2152777777777777
216,1,Silver,JPEG,127770.0,RGB,450.0,334.0,0.5193758104705621,0.2989663942046164,1.347305389221557
217,1,Pyrargyrite,JPEG,84476.0,RGB,863.0,881.0,0.4893323515782008,0.3325294764659441,0.9795686719636776
219,1,Stephanite,JPEG,69563.0,RGB,576.0,576.0,0.4163858842630417,0.2373802757035268,1.0
220,1,Acanthite,JPEG,41140.0,RGB,317.0,450.0,0.642467660460609,0.294571184397316,0.7044444444444444
221,1,Acanthite,JPEG,23732.0,RGB,383.0,309.0,0.3887989407022916,0.2043813785427066,1.2394822006472492
222,1,Pyrargyrite,JPEG,56242.0,RGB,640.0,480.0,0.4670450367647058,0.2407562801491513,1.3333333333333333
224,1,Freibergite,JPEG,184535.0,RGB,800.0,583.0,0.3831316298388996,0.2752342459910895,1.37221269296741
225,1,Chlorargyrite,JPEG,21067.0,RGB,640.0,480.0,0.6068284186070262,0.0852218444276483,1.3333333333333333
226,1,Silver,JPEG,70254.0,RGB,501.0,720.0,0.5252420322753187,0.2881867404440083,0.6958333333333333
227,1,Silver,JPEG,88725.0,RGB,568.0,720.0,0.4350465360244253,0.227605001921954,0.7888888888888889
228,1,Silver,JPEG,170114.0,RGB,720.0,688.0,0.4773949387571566,0.2846812152167514,1.0465116279069768
229,1,Silver,JPEG,55101.0,RGB,330.0,720.0,0.502271225325147,0.2703621466503914,0.4583333333333333
230,1,Silver,JPEG,73307.0,RGB,700.0,442.0,0.585829917487357,0.2899365510590042,1.583710407239819
231,1,Silver,JPEG,96772.0,RGB,561.0,596.0,0.2515988828626714,0.2334646607455807,0.9412751677852348
232,1,Silver,JPEG,24504.0,RGB,312.0,400.0,0.3466151018099548,0.1952632344619998,0.78
233,1,Silver,JPEG,8197.0,RGB,300.0,340.0,0.2067862745098039,0.2142949190731733,0.8823529411764706
234,1,Silver,JPEG,101046.0,RGB,500.0,481.0,0.362363719375484,0.178145702731348,1.0395010395010396
235,1,Silver,JPEG,68729.0,RGB,500.0,375.0,0.4600642300653595,0.1853966230507316,1.3333333333333333
236,1,Silver,JPEG,16478.0,RGB,474.0,366.0,0.3597580338538311,0.168417297254619,1.2950819672131149
237,1,Proustite,JPEG,24675.0,RGB,581.0,456.0,0.3203428190130417,0.1711340775210707,1.274122807017544
238,1,Proustite,JPEG,166246.0,RGB,640.0,480.0,0.5583808466094772,0.3059910765129318,1.3333333333333333
239,1,Proustite,JPEG,178943.0,RGB,640.0,480.0,0.4041567095588236,0.2796968046364591,1.3333333333333333
240,1,Proustite,JPEG,159828.0,RGB,640.0,480.0,0.3769782220179739,0.2696157768093242,1.3333333333333333
241,1,Proustite,JPEG,120263.0,RGB,478.0,600.0,0.4293627040774468,0.202234991824539,0.7966666666666666
242,1,Pyrargyrite,JPEG,92149.0,RGB,731.0,562.0,0.1550100558793603,0.2097530698364506,1.300711743772242
243,1,Pyrargyrite,JPEG,47677.0,RGB,800.0,698.0,0.3286316647002641,0.1952209318250289,1.146131805157593
244,1,Proustite,JPEG,46659.0,RGB,900.0,675.0,0.5387107431614621,0.092445604288115,1.3333333333333333
245,1,Pyrargyrite,JPEG,78440.0,RGB,425.0,501.0,0.2772508224611906,0.2294333934117457,0.8483033932135728
246,1,Silver,JPEG,162426.0,RGB,834.0,609.0,0.2813022990281589,0.2889015831009208,1.3694581280788178
247,1,Silver,JPEG,84378.0,RGB,629.0,480.0,0.5128093145048163,0.2270225456110246,1.3104166666666666
254,1,Acanthite,JPEG,225548.0,RGB,640.0,480.0,0.4929417381535947,0.2369878921909635,1.3333333333333333
255,1,Stephanite,JPEG,86807.0,RGB,718.0,579.0,0.2516409863265525,0.195278124545038,1.2400690846286702
256,1,Pyrargyrite,JPEG,214441.0,RGB,640.0,457.0,0.7589006789805637,0.1784760486816415,1.400437636761488
257,1,Proustite,JPEG,39902.0,RGB,333.0,697.0,0.1336378998628977,0.2211626144296054,0.4777618364418938
258,1,Pyrargyrite,JPEG,139941.0,RGB,900.0,675.0,0.6726987428386993,0.2463816980927213,1.3333333333333333
259,1,Chlorargyrite,JPEG,186489.0,RGB,900.0,675.0,0.4010745937222625,0.2382812113525418,1.3333333333333333
260,1,Chlorargyrite,JPEG,185502.0,RGB,900.0,675.0,0.4386269539256034,0.2253413578377269,1.3333333333333333
261,1,Chlorargyrite,JPEG,259622.0,RGB,900.0,675.0,0.4021175954167673,0.1933788519818018,1.3333333333333333
262,1,Polybasite,JPEG,187014.0,RGB,800.0,561.0,0.3156133829645941,0.253773701184648,1.42602495543672
